,기업명,기업구분2,기업구분,사원수2,사원수,설립일(업력),홈페이지,지역,별점,입사율,퇴사율
140,(주)더베스트페이,중소기업,"중소기업, 주식회사",24,24 명  (2021년 기준),2002년 1월 14일 (업력 20년) ,http://www.thebestpay.co.kr,서울 강서구,2.6,15.38 % (4 명),11.54 % (3 명)
141,케이아이티밸리(주),중소기업,중소기업,0,0,0,www.kitvalley.com,서울 금천구,3.0,27.85 % (22 명),25.32 % (20 명)
142,(주)버블콘,중소기업,"중소기업, 주식회사",0,0,0,,서울 구로구,2.0,82.35 % (14 명),52.94 % (9 명)
143,에스케이시그넷(주),중소기업,"코넥스, 중소기업, 주식회사, 외부감사법..",178,178 명  (2021년 기준),2016년 12월 13일 (업력 6년) ,https://sksignet.com/,전남 영광군,2.4,101.18 % (171 명),22.49 % (38 명)
144,(주)바인테크,중소기업,"중소기업, 외부감사법인, 주식회사, 병역..",40,40 명  (2021년 기준),2001년 4월 25일 (업력 21년) ,www.vinetech.co.kr,서울 송파구,2.6,35.71 % (15 명),47.62 % (20 명)
145,(주)엔켐,중소기업,"코스닥, 중소기업, 외부감사법인, 주식회..",261,261 명  (2022년 기준),2012년 1월 26일 (업력 10년) ,www.enchem.net,충북 제천시,2.5,90.32 % (196 명),58.53 % (127 명)
146,(주)에이티솔루션,중소기업,중소기업,0,0,2017년 1월 26일 (업력 5년) ,,부산 기장군,4.0,7.14 % (1 명),28.57 % (4 명)
147,에이엠스퀘어(주),중소기업,"중소기업, 주식회사",0,0,2019년 3월 7일 (업력 3년) ,amsquare.ai,경북 포항시,0.0,62.50 % (5 명),25.00 % (2 명)
148,㈜더아이엠씨,중소기업,"중소기업, 주식회사, 병역특례 인증업체",0,0,0,http://www.theimc.co.kr/,대구 수성구,2.2,60.00 % (32 명),40.00 % (21 명)
149,아이티사이언스(주),중소기업,"중소기업, 스타트업, 외부감사법인, 주식..",162,162 명  (2021년 기준),2002년 11월 25일 (업력 20년) ,www.itscience.co.kr,경기 안양시,2.5,33.12 % (52 명),16.56 % (26 명)
151,시큐웍스(대전),중소기업,"중소기업, 외부감사법인, 주식회사, 수출..",0,0,0,www.secu-works.com,대전 유성구,1.0,62.50 % (15 명),79.17 % (19 명)
153,(주)데이터에듀,중소기업,"중소기업, 주식회사",32,32 명  (2021년 기준),2019년 1월 28일 (업력 3년) ,www.dataedu.co.kr,부산 해운대구,1.8,183.87 % (57 명),151.61 % (47 명)
154,(주)제이에스티앤랩,중소기업,중소기업,18,18 명  (2018년 기준),2008년 12월 2일 (업력 14년) ,www.js-t.co.kr,인천 연수구,2.7,35.00 % (7 명),60.00 % (12 명)
155,(주)클로버스튜디오,중소기업,중소기업,0,0,2019년 7월 25일 (업력 3년) ,,인천 연수구,2.0,145.45 % (16 명),118.18 % (13 명)
156,(주)시스콘,중소기업,"중소기업, 주식회사, 병역특례 인증업체",0,0,0,www.syscon.kr,인천 서구,2.9,91.78 % (67 명),26.03 % (19 명)
157,(주)메디칼파크,중소기업,"중소기업, 외부감사법인, 연구소, 주식회..",77,77 명  (2021년 기준),2008년 1월 4일 (업력 14년) ,imedicalpark.com,경기 용인시,2.9,39.13 % (27 명),15.94 % (11 명)
158,(주)다누시스,중소기업,"중소기업, 연구소, 주식회사, 병역특례 ..",61,61 명  (2022년 기준),2002년 10월 2일 (업력 20년) ,www.danusys.com,경기 광명시,2.9,64.71 % (33 명),49.02 % (25 명)
159,쿤텍(주),중소기업,"중소기업, 연구소, 주식회사",39,39 명  (2022년 기준),2016년 1월 28일 (업력 6년) ,www.coontec.com,경기 성남시,3.4,103.33 % (31 명),60.00 % (18 명)
160,(주)데이터메이커,중소기업,중소기업,0,0,2018년 10월 19일 (업력 4년) ,www.datamaker.io,대전 유성구,3.9,70.97 % (44 명),85.48 % (53 명)
161,비앤에프테크놀로지(주),중소기업,중소기업,77,77 명  (2019년 기준),2000년 11월 10일 (업력 22년) ,www.bnftech.com,대전 유성구,3.2,43.64 % (24 명),36.36 % (20 명)
162,(주)두잇시스템,중소기업,중소기업,223,223 명  (2021년 기준),2004년 2월 16일 (업력 18년) ,www.doitsys.co.kr,서울 영등포구,2.5,22.48 % (49 명),19.27 % (42 명)
163,주식회사 미코,중소기업,중소기업,0,0,0,,인천 서구,2.8,37.50 % (45 명),19.17 % (23 명)
164,(주)두플,중소기업,"중소기업, 주식회사",0,0,0,www.doople.net,경기 성남시,2.6,36.67 % (11 명),23.33 % (7 명)
165,(주)얼라인드제네틱스,중소기업,"코스닥, 중소기업, 스타트업, 주식회사, ..",52,52 명  (2022년 기준),2008년 10월 2일 (업력 14년) ,www.alignedgenetics.com,경기 안양시,3.3,40.00 % (18 명),22.22 % (10 명)
166,(주)동서가구,중소기업,"중소기업, 외부감사법인, 주식회사, 수출..",85,85 명  (2021년 기준),2013년 8월 23일 (업력 9년) ,www.dongsuhfurniture.co.kr,경기 성남시,2.0,72.58 % (45 명),77.42 % (48 명)
168,(주)제이숲,중소기업,중소기업,0,0,0,www.jsoop.co.kr,경기 의정부시,3.4,74.07 % (40 명),59.26 % (32 명)
169,(주)투버미디어,중소기업,"중소기업, 주식회사",12,12 명  (2022년 기준),0,www.2ver.com,대구 남구,2.0,12.50 % (2 명),12.50 % (2 명)
170,주식회사 명품입찰,중소기업,중소기업,0,0,0,www.mpbid.co.kr,대전 동구,2.7,81.40 % (35 명),79.07 % (34 명)
171,스포츠투아이(주),중소기업,"중소기업, 주식회사",66,66 명  (2021년 기준),1999년 12월 9일 (업력 23년) ,www.sports2i.com,경기 성남시,2.7,41.67 % (25 명),35.00 % (21 명)
172,(주)아이비젼웍스,중소기업,"중소기업, 주식회사, 수출입 기업",70,70 명  (2021년 기준),2015년 4월 20일 (업력 7년) ,,대전 유성구,4.4,108.47 % (64 명),42.37 % (25 명)
173,에프원소프트(주),중소기업,"중소기업, 스타트업, 병역특례 인증업체",0,0,0,www.f1soft.co.kr,경기 화성시,2.5,35.14 % (13 명),37.84 % (14 명)
174,(주)에스티에이테스팅컨설팅,중소기업,"중소기업, 스타트업, 주식회사",185,185 명  (2022년 기준),0,www.sta.co.kr,서울 강남구,2.5,32.71 % (70 명),45.79 % (98 명)
175,(주)플랜아이,중소기업,"중소기업, 주식회사, 병역특례 인증업체,..",116,116 명  (2022년 기준),2004년 11월 26일 (업력 18년) ,www.plani.co.kr,대전 유성구,3.0,30.36 % (34 명),28.57 % (32 명)
176,(주)발렌타인드림,중소기업,"중소기업, 연구소, 주식회사",0,0,0,www.bdm.works/,서울 강남구,2.7,175.86 % (51 명),127.59 % (37 명)
178,(주)더컴퍼니,중소기업,"중소기업, 주식회사",0,0,2016년 5월 17일 (업력 6년) ,bestco.kr,경남 창원시,2.5,28.57 % (2 명),42.86 % (3 명)
182,(주)이루온아이앤에스,중소기업,"중소기업, 주식회사",0,0,0,www.eluonins.com,경기 성남시,3.3,43.10 % (25 명),44.83 % (26 명)
183,(주)인실리코젠,중소기업,"중소기업, 주식회사, 병역특례 인증업체",0,0,0,insilicogen.com,경기 용인시,2.7,42.86 % (21 명),20.41 % (10 명)
184,(주)아인스텍,중소기업,"중소기업, 주식회사",12,12 명  (2017년 기준),2002년 4월 25일 (업력 20년) ,www.einstek.com,경기 고양시,2.5,54.00 % (71 명),58.00 % (76 명)
0,동아출판(주),중견기업,"중견기업, 외부감사법인",283,283 명  (2022년 기준),2008년 10월 1일 (업력 14년) ,www.dongapublishing.com,서울 영등포구,2.5,27.18 % (78 명),25.09 % (72 명)
2,고려해운(주),중견기업,"중견기업, 외부감사법인",739,739 명  (2022년 기준),1985년 9월 6일 (업력 37년) ,www.kmtc.co.kr,서울 중구,3.3,9.68 % (15 명),11.61 % (18 명)
17,(주)엔에이치엔다이퀘스트,중견기업,"중견기업, 주식회사, 연구소, 병역특례 ..",197,197 명  (2021년 기준),2000년 3월 3일 (업력 22년) ,www.diquest.com,서울 구로구,2.9,55.49 % (96 명),26.01 % (45 명)
21,㈜칸테크,중견기업,중견기업,0,0,0,http://www.khantech.co.kr,서울 금천구,2.7,27.00 % (12 명),13.00 % (6 명)
27,(주)트랜스코스모스코리아,중견기업,"중견기업, 외국 법인기업, 주식회사",9658,9658 명  (2022년 기준),2001년 5월 22일 (업력 21년) ,www.trans-cosmos.co.kr,서울 영등포구,2.6,106.63 % (9455 명),99.05 % (8783 명)
29,(주)모나미,중견기업,"코스피, 중견기업, 외부감사법인, 수출입..",200,200 명  (2022년 기준),1967년 12월 28일 (업력 55년) ,www.monami.com,경기 용인시,2.0,44.69 % (80 명),30.17 % (54 명)
37,(주)더블유게임즈,중견기업,"코스피, 중견기업, 스타트업, 주식회사, ..",0,0,0,www.doubleugames.com,서울 강남구,3.3,43.59 % (119 명),27.84 % (76 명)
61,(주)NE능률,중견기업,"코스닥, 중견기업, 주식회사",320,320 명  (2022년 기준),0,www.neungyule.com,서울 마포구,2.9,16.00 % (49 명),19.00 % (58 명)
62,키스자산평가(주),중견기업,"중견기업, 연구소, 주식회사, 병역특례 ..",141,141 명  (2021년 기준),2000년 6월 20일 (업력 22년) ,www.bond.co.kr,서울 영등포구,2.7,37.24 % (54 명),35.86 % (52 명)
77,이투스에듀(주),중견기업,중견기업,686,686 명  (2021년 기준),0,www.etoos.com,서울 강남구,0.0,- % (840 명),- % (218 명)
81,메가존클라우드(주),중견기업,"중견기업, 주식회사, 병역특례 인증업체",900,900 명  (2022년 기준),0,www.megazone.com/,서울 강남구,2.7,108.89 % (821 명),32.89 % (248 명)
83,메가존소프트(주),중견기업,중견기업,106,106 명  (2022년 기준),2021년 9월 9일 (업력 1년) ,,서울 강남구,3.8,63.22 % (55 명),35.63 % (31 명)
84,메가존(주),중견기업,"중견기업, 주식회사, 병역특례 인증업체",524,524 명  (2022년 기준),2001년 3월 17일 (업력 21년) ,https://megazone.com,서울 강남구,2.7,57.89 % (308 명),40.41 % (215 명)
94,(주)퍼시스,중견기업,"코스피, 중견기업, 1000대기업, 외부감사..",219,219 명  (2022년 기준),1983년 3월 11일 (업력 39년) ,www.fursys.com,서울 송파구,3.0,26.82 % (59 명),20.00 % (44 명)
100,(주)시몬스,중견기업,"중견기업, 외부감사법인, 수출입 기업",643,643 명  (2021년 기준),0,www.simmons.co.kr,경기 이천시,2.3,37.97 % (243 명),39.53 % (253 명)
101,메가스터디교육(주),중견기업,"코스닥, 중견기업, 외부감사법인, 주식회사",0,0,2015년 4월 3일 (업력 7년) ,http://corp.megastudy.net,서울 서초구,2.5,79.03 % (1146 명),64.34 % (933 명)
118,(주)에이아이매틱스,중견기업,"중견기업, 외부감사법인, 주식회사, 병역..",78,78 명  (2020년 기준),2003년 7월 1일 (업력 19년) ,www.aimatics.ai,서울 영등포구,2.1,70.00 % (56 명),62.50 % (50 명)
120,한영회계법인,중견기업,"중견기업, 외국 법인기업, 외부감사법인",1274,1274 명  (2022년 기준),1982년 3월 25일 (업력 40년) ,www.ey.com/kr,서울 영등포구,3.1,52.72 % (1133 명),39.83 % (856 명)
122,현대엘엔지해운(주),중견기업,"중견기업, 주식회사",341,341 명  (2021년 기준),2014년 3월 31일 (업력 8년) ,www.hls.co.kr,서울 중구,3.3,53.27 % (163 명),44.12 % (135 명)
123,한국자산평가(주),중견기업,"중견기업, 외부감사법인, 병역특례 인증..",220,220 명  (2021년 기준),0,www.koreaap.com,서울 종로구,3.2,46.05 % (99 명),37.21 % (80 명)
124,웰컴저축은행(주),중견기업,"중견기업, 금융기관, 주식회사",0,0,0,www.welcomebank.co.kr,서울 용산구,2.4,29.74 % (221 명),29.48 % (219 명)
150,(주)파츠몰,중견기업,"중견기업, 주식회사, 외부감사법인, 수출..",32,32 명  (2021년 기준),0,www.parts-mall.com,경기 고양시,2.5,14.71 % (5 명),23.53 % (8 명)
177,(주)유라,중견기업,중견기업,0,0,0,www.yura.co.kr,경기 화성시,2.2,23.00 % (109 명),19.62 % (93 명)
180,(주)스마일게이트엔터테인먼트,중견기업,"중견기업, 주식회사, 외부감사법인",791,791 명  (2021년 기준),2002년 6월 11일 (업력 20년) ,www.smilegate.com,경기 성남시,3.3,25.77 % (202 명),17.60 % (138 명)
14,SK텔레콤(주),대기업,"코스피, 대기업, 1000대기업, 주식회사, ..",5376,5376 명  (2022년 기준),1984년 3월 29일 (업력 38년) ,www.sktelecom.com,서울 중구,4.0,11.71 % (626 명),12.31 % (658 명)
15,동국시스템즈(주),대기업,"대기업, 외부감사법인, 수출입 기업",333,333 명  (2022년 기준),1997년 9월 11일 (업력 25년) ,www.dongkuksystems.com,서울 중구,2.9,24.53 % (79 명),19.57 % (63 명)
42,AJ네트웍스(주),대기업,"코스피, 대기업, 주식회사",533,533 명  (2022년 기준),2000년 2월 10일 (업력 22년) ,www.ajnet.co.kr,서울 송파구,2.5,31.36 % (148 명),19.49 % (92 명)
47,(주)오토피온,대기업,대기업,53,53 명  (2022년 기준),2013년 12월 2일 (업력 9년) ,http://autopion.com,서울 강서구,2.2,25.00 % (14 명),50.00 % (28 명)
50,㈜네오플,대기업,"대기업, 1000대기업, 외부감사법인",0,0,0,www.neople.co.kr,제주 제주시,3.7,26 % (272 명),10 % (110 명)
91,유빈스(주),대기업,"대기업, 주식회사",553,553 명  (2021년 기준),2005년 9월 20일 (업력 17년) ,www.ubins.co.kr,경기 군포시,2.5,19.40 % (104 명),20.15 % (108 명)
109,(주) LG CNS,대기업,"대기업, 1000대기업, 외부감사법인, 수출..",6603,6603 명  (2022년 기준),0,www.lgcns.com,서울 강서구,3.1,14.30 % (899 명),10.83 % (681 명)
111,(주)더비즈,대기업,"대기업, 주식회사",0,0,0,land.mk.co.kr/memul,서울 서초구,0.0,0.00 % (7 명),0.00 % (1 명)
139,(주)에브리플레이,대기업,"대기업, 주식회사",54,54 명  (2022년 기준),0,m.everyfit.co.kr/Go/i,서울 금천구,3.4,31.48 % (17 명),20.37 % (11 명)
152,디에스엠이정보시스템(주),대기업,대기업,217,217 명  (2021년 기준),2016년 12월 28일 (업력 6년) ,www.dsmeinc.com,경남 거제시,3.0,15.98 % (35 명),26.94 % (59 명)
167,네이버제트(주),대기업,대기업,252,252 명  (2021년 기준),2020년 5월 6일 (업력 2년) ,,경기 성남시,4.2,90.38 % (216 명),42.26 % (101 명)
179,캐논코리아 주식회사,대기업,"대기업, 1000대기업, 외국인 투자기업, ..",0,0,0,https://kr.canon/,서울 강남구,2.7,24.69 % (315 명),30.49 % (389 명)
4,에이에스이코리아(주),기타,"외국인 투자기업, 외부감사법인, 수출입 ..",1885,1885 명  (2021년 기준),1967년 3월 7일 (업력 55년) ,www.asekr.com,경기 파주시,2.4,20.18 % (371 명),19.80 % (364 명)
9,(주)앤씨앤,기타,"코스닥, 외부감사법인, 수출입 기업",117,117 명  (2022년 기준),1997년 5월 13일 (업력 25년) ,www.nc-and.com,경기 성남시,2.7,44.86 % (48 명),38.32 % (41 명)
22,이루온,기타,"코스닥, 외부감사법인, 수출입 기업",0,0,0,www.eluon.com,경기 성남시,2.5,11.90 % (10 명),13.10 % (11 명)
25,한국메티슨특수가스(주),기타,"외국인 투자기업, 외부감사법인, 수출입 ..",197,197 명  (2022년 기준),1995년 9월 1일 (업력 27년) ,www.mgpk.co.kr,충남 아산시,2.8,40.80 % (71 명),20.69 % (36 명)
55,(주)플랜티넷,기타,"코스닥, 외부감사법인, 주식회사, 병역특..",0,0,0,www.plantynet.com,경기 성남시,2.5,30.77 % (24 명),32.05 % (25 명)
63,(주)한컴라이프케어,기타,"코스피, 외부감사법인, 수출입 기업",237,237 명  (2022년 기준),1996년 12월 30일 (업력 26년) ,www.hancomlifecare.com,경기 용인시,1.9,12.35 % (30 명),21.81 % (53 명)
66,(주)엔텔스,기타,"코스닥, 외부감사법인, 주식회사, 병역특..",222,222 명  (2022년 기준),0,www.ntels.com,서울 강남구,2.8,18.94 % (43 명),23.79 % (54 명)
73,지오시스(유),기타,"외국인 투자기업, 유한회사",242,242 명  (2021년 기준),2010년 5월 20일 (업력 12년) ,www.qoo10.com,서울 강남구,2.2,22.08 % (53 명),30.83 % (74 명)
74,(주)퓨전소프트,기타,외부감사법인,0,0,0,www.fusionsoft.co.kr,대구 동구,3.0,39.78 % (37 명),15.05 % (14 명)
86,(주)비솔,기타,수출입 기업,27,27 명  (2022년 기준),2000년 1월 6일 (업력 22년) ,www.visol.co.kr,경기 광명시,2.1,28.13 % (9 명),12.50 % (4 명)
90,(주)동아엘텍,기타,"코스닥, 외부감사법인, 주식회사, 수출입..",131,131 명  (2022년 기준),1999년 4월 14일 (업력 23년) ,www.dongaeltek.co.kr,경기 안양시,2.8,9.16 % (12 명),6.87 % (9 명)
98,(주)오비고,기타,"코스닥, 외국인 투자기업, 외부감사법인,..",111,111 명  (2022년 기준),2003년 3월 18일 (업력 19년) ,www.obigo.com,경기 성남시,3.2,36.84 % (35 명),20.00 % (19 명)
104,이스트소프트,기타,"코스닥, 외부감사법인, 병역특례 인증업..",0,0,0,www.estsoft.ai/,서울 서초구,3.3,48.31 % (86 명),43.82 % (78 명)
107,(주)유니텍,기타,"외부감사법인, 주식회사",36,36 명  (2022년 기준),0,www.unitech.co.kr,경기 안양시,2.2,8.82 % (3 명),23.53 % (8 명)
126,(주)우리기술,기타,"코스닥, 외부감사법인, 수출입 기업",115,115 명  (2022년 기준),1995년 1월 12일 (업력 27년) ,www.wooritg.com,서울 마포구,2.2,8.77 % (10 명),5.26 % (6 명)
131,한국쓰리엠(주),기타,"외국 법인기업, 외부감사법인, 연구소, ..",1686,1686 명  (2022년 기준),1977년 9월 17일 (업력 45년) ,www.3m.co.kr,서울 영등포구,3.7,7.25 % (88 명),8.00 % (97 명)
135,에스지에이(주),기타,"코스닥, 외국인 투자기업, 외부감사법인",193,193 명  (2022년 기준),1997년 11월 21일 (업력 25년) ,www.sgacorp.kr,서울 송파구,2.5,80.61 % (158 명),70.92 % (139 명)
181,주식회사 한국미래에너지,기타,주식회사,25,25 명  (2021년 기준),0,www.rfems.com,부산 강서구,3.0,42.31 % (11 명),84.62 % (22 명)
