기업명,기업구분,사원수,설립일(업력),홈페이지,지역,별점,입사율,퇴사율
유빈스(주),"대기업, 주식회사",553 명  (2021년 기준),2005년 9월 20일 (업력 17년) ,www.ubins.co.kr,경기 군포시,2.5,19.40 % (104 명),20.15 % (108 명)
(주)에이스프로젝트,"중소기업, 스타트업",56 명  (2019년 기준),2011년 4월 12일 (업력 11년) ,www.aceproject.co.kr,서울 중구,4.1,41.46 % (17 명),31.71 % (13 명)
(주)에이오팜,"중소기업, 주식회사",0,2021년 3월 15일 (업력 1년) ,www.aiofarm.co.kr,경기 성남시,0.0,42.86 % (3 명),0.00 % (0 명)
(주)퍼시스,"코스피, 중견기업, 1000대기업, 외부감사..",219 명  (2022년 기준),1983년 3월 11일 (업력 39년) ,www.fursys.com,서울 송파구,3.0,26.82 % (59 명),20.00 % (44 명)
(주)벨아이앤에스,중소기업,0,2008년 5월 14일 (업력 14년) ,www.bellins.net,서울 서대문구,3.4,28.79 % (19 명),30.30 % (20 명)
(주)리파인,"코스닥, 중소기업, 주식회사",215 명  (2022년 기준),2002년 7월 10일 (업력 20년) ,www.refine.co.kr,서울 강남구,2.4,26.89 % (57 명),29.25 % (62 명)
(주)와치텍,"중소기업, 수출입 기업",110 명  (2021년 기준),1999년 1월 13일 (업력 23년) ,www.watchtek.co.kr,서울 영등포구,3.0,19.09 % (21 명),20.00 % (22 명)
(주)오비고,"코스닥, 외국인 투자기업, 외부감사법인,..",111 명  (2022년 기준),2003년 3월 18일 (업력 19년) ,www.obigo.com,경기 성남시,3.2,36.84 % (35 명),20.00 % (19 명)
(주)이노메트리,"코스닥, 중소기업, 주식회사",143 명  (2022년 기준),2008년 6월 3일 (업력 14년) ,www.innometry.com,경기 화성시,1.0,123.91 % (114 명),68.48 % (63 명)
(주)시몬스,"중견기업, 외부감사법인, 수출입 기업",643 명  (2021년 기준),0,www.simmons.co.kr,경기 이천시,2.3,37.97 % (243 명),39.53 % (253 명)
주식회사 플루토랩스,중소기업,0,0,www.pluto.im/,서울 강남구,,100.00 % (7 명),14.29 % (1 명)
메가스터디교육(주),"코스닥, 중견기업, 외부감사법인, 주식회사",0,2015년 4월 3일 (업력 7년) ,http://corp.megastudy.net,서울 서초구,2.5,79.03 % (1146 명),64.34 % (933 명)
(주)미스터픽,"중소기업, 스타트업, 주식회사",26 명  (2020년 기준),0,www.mrpic.co.kr/,서울 강남구,3.3,31.43 % (11 명),40.00 % (14 명)
기흥인터내셔널(유),"중소기업, 유한회사",85 명  (2022년 기준),0,http://www.khg.kr/,서울 강남구,2.3,0.00 % (5 명),0.00 % (0 명)
이스트소프트,"코스닥, 외부감사법인, 병역특례 인증업..",0,0,www.estsoft.ai/,서울 서초구,3.3,48.31 % (86 명),43.82 % (78 명)
엠클라우드브리지(주),중소기업,0,2022년 8월 26일 (업력 0년) ,https://www.instagram.com/mcloudbridge/,서울 강남구,,- % (17 명),0.00 % (0 명)
(주)이앤에프어드바이저,"중소기업, 주식회사",13 명  (2022년 기준),2017년 3월 16일 (업력 5년) ,www.enfadvisor.com,서울 영등포구,4.3,77.78 % (7 명),33.33 % (3 명)
(주)포비즈코리아,"중소기업, 주식회사",0,0,www.forbiz.co.kr,서울 서초구,2.3,38.10 % (32 명),38.10 % (32 명)
(주)유니텍,"외부감사법인, 주식회사",36 명  (2022년 기준),0,www.unitech.co.kr,경기 안양시,2.2,8.82 % (3 명),23.53 % (8 명)
(주)셀티움,"중소기업, 연구소, 주식회사",0,2020년 5월 19일 (업력 2년) ,www.celltium.com,경기 수원시,2.5,316.67 % (19 명),316.67 % (19 명)
(주) LG CNS,"대기업, 1000대기업, 외부감사법인, 수출..",6603 명  (2022년 기준),0,www.lgcns.com,서울 강서구,3.1,14.30 % (899 명),10.83 % (681 명)
(주)슈퍼브에이아이,"중소기업, 스타트업, 병역특례 인증업체",0,0,www.superb-ai.com,서울 강남구,4.0,231.25 % (111 명),95.83 % (46 명)
(주)더비즈,"대기업, 주식회사",0,0,land.mk.co.kr/memul,서울 서초구,0.0,0.00 % (7 명),0.00 % (1 명)
(주)미창,"중소기업, 주식회사, 병역특례 인증업체",0,0,www.mi-chang.com,경기 부천시,2.3,30.26 % (23 명),26.32 % (20 명)
(주)직방,"중소기업, 스타트업",317 명  (2021년 기준),2010년 11월 19일 (업력 12년) ,company.zigbang.com/,서울 강남구,3.1,89.86 % (257 명),31.12 % (89 명)
(주)레인보우8,"중소기업, 주식회사",0,2013년 11월 18일 (업력 9년) ,www.rainbow.co.kr,-,3.3,32.00 % (11 명),23.00 % (8 명)
(주)프로앱텍,"중소기업, 연구소, 주식회사",20 명  (2022년 기준),0,www.proabtech.com,광주 북구,,68.75 % (11 명),75.00 % (12 명)
크레파스솔루션(주),중소기업,20 명  (2021년 기준),0,www.crepass.com/,서울 마포구,1.8,69.57 % (16 명),52.17 % (12 명)
오토시맨틱스(주),,0,0,www.autosemantics.co.kr,서울 성동구,2.1,38.10 % (8 명),71.43 % (15 명)
(주)페니로이스,"중소기업, 주식회사",0,0,www.panirois.com,서울 종로구,3.0,30.77 % (8 명),42.31 % (11 명)
(주)에이아이매틱스,"중견기업, 외부감사법인, 주식회사, 병역..",78 명  (2020년 기준),2003년 7월 1일 (업력 19년) ,www.aimatics.ai,서울 영등포구,2.1,70.00 % (56 명),62.50 % (50 명)
(주)핀인사이트,중소기업,11 명  (2019년 기준),2015년 9월 17일 (업력 7년) ,,서울 동작구,5.0,31.25 % (5 명),50.00 % (8 명)
한영회계법인,"중견기업, 외국 법인기업, 외부감사법인",1274 명  (2022년 기준),1982년 3월 25일 (업력 40년) ,www.ey.com/kr,서울 영등포구,3.1,52.72 % (1133 명),39.83 % (856 명)
(주)아이투맥스,"중소기업, 주식회사",0,0,www.i2max.co.kr,서울 마포구,2.9,41.33 % (62 명),30.67 % (46 명)
현대엘엔지해운(주),"중견기업, 주식회사",341 명  (2021년 기준),2014년 3월 31일 (업력 8년) ,www.hls.co.kr,서울 중구,3.3,53.27 % (163 명),44.12 % (135 명)
한국자산평가(주),"중견기업, 외부감사법인, 병역특례 인증..",220 명  (2021년 기준),0,www.koreaap.com,서울 종로구,3.2,46.05 % (99 명),37.21 % (80 명)
아이티컨버젼스(주),"중소기업, 주식회사",0,2014년 11월 4일 (업력 8년) ,www.itconv.co.kr,서울 송파구,2.1,,
웰컴저축은행(주),"중견기업, 금융기관, 주식회사",0,0,www.welcomebank.co.kr,서울 용산구,2.4,29.74 % (221 명),29.48 % (219 명)
(주)심네트,"중소기업, 주식회사, 병역특례 인증업체",222 명  (2021년 기준),1999년 3월 15일 (업력 23년) ,www.simnet.co.kr,대전 유성구,2.1,28.86 % (43 명),22.82 % (34 명)
(주)우리기술,"코스닥, 외부감사법인, 수출입 기업",115 명  (2022년 기준),1995년 1월 12일 (업력 27년) ,www.wooritg.com,서울 마포구,2.2,8.77 % (10 명),5.26 % (6 명)
(주)퀀팃,중소기업,0,0,quantit.io,서울 영등포구,4.7,109.68 % (34 명),61.29 % (19 명)
세종경영자문(주),중소기업,0,0,,서울 종로구,1.7,166.67 % (25 명),140.00 % (21 명)
(주)이지스,"중소기업, 수출입 기업",66 명  (2022년 기준),2001년 2월 26일 (업력 21년) ,www.egiskorea.com,대구 수성구,2.9,24.62 % (16 명),32.31 % (21 명)
(주)에이치에스오코리아,"중소기업, 외국인 투자기업",0,2019년 2월 15일 (업력 3년) ,www.hsokorea.com,서울 마포구,0.0,0.00 % (6 명),0.00 % (4 명)
한국쓰리엠(주),"외국 법인기업, 외부감사법인, 연구소, ..",1686 명  (2022년 기준),1977년 9월 17일 (업력 45년) ,www.3m.co.kr,서울 영등포구,3.7,7.25 % (88 명),8.00 % (97 명)
(주)아이유노글로벌,"중소기업, 외국인 투자기업, 주식회사",0,2004년 9월 3일 (업력 18년) ,iyuno.com,서울 마포구,2.2,54.82 % (108 명),39.09 % (77 명)
아우토크립트(주),"중소기업, 연구소, 주식회사, 병역특례 ..",0,0,autocrypt.co.kr,서울 영등포구,3.4,141.60 % (177 명),44.00 % (55 명)
솔트웨어(주),"코스닥, 중소기업, 외부감사법인, 병역특..",0,0,www.saltware.co.kr,서울 구로구,2.4,- % (104 명),- % (6 명)
에스지에이(주),"코스닥, 외국인 투자기업, 외부감사법인",193 명  (2022년 기준),1997년 11월 21일 (업력 25년) ,www.sgacorp.kr,서울 송파구,2.5,80.61 % (158 명),70.92 % (139 명)
코리아스펙트랄프로덕츠(주),"중소기업, 외국인 투자기업, 수출입 기업",25 명  (2020년 기준),2003년 6월 19일 (업력 19년) ,http://www.ksp.co.kr,서울 구로구,2.7,11.54 % (3 명),15.38 % (4 명)
(주)무신사,중소기업,943 명  (2021년 기준),2012년 6월 25일 (업력 10년) ,www.musinsa.com,서울 성동구,2.7,137.96 % (894 명),39.20 % (254 명)
(주)바이브온코퍼레이션,"중소기업, 주식회사",0,2021년 4월 16일 (업력 1년) ,www.vibeon.ai,서울 마포구,,200.00 % (6 명),33.33 % (1 명)
(주)국동,"코스피, 주식회사, 외부감사법인, 수출입..",61 명  (2022년 기준),1967년 12월 8일 (업력 55년) ,www.kd.co.kr,서울 동대문구,,49.35 % (38 명),71.43 % (55 명)
디지털뉴트리션,주식회사,0,2022년 3월 18일 (업력 0년) ,,서울 마포구,,100 %(4 명),25.00 % (1 명)
주식회사 옳은일,,0,0,,서울 성동구,,,
(주)위즈코리아,"중소기업, 주식회사",0,0,www.weeds.co.kr,서울 강서구,1.9,34.38 % (22 명),39.06 % (25 명)
(주)비포플레이,"중소기업, 주식회사",0,2020년 7월 17일 (업력 2년) ,www.b4play.io,서울 강남구,,154.55 % (17 명),145.45 % (16 명)
(주)에브리플레이,"대기업, 주식회사",54 명  (2022년 기준),0,m.everyfit.co.kr/Go/i,서울 금천구,3.4,31.48 % (17 명),20.37 % (11 명)
지성컨설팅,,0,0,,서울 마포구,,,
(주)더베스트페이,"중소기업, 주식회사",24 명  (2021년 기준),2002년 1월 14일 (업력 20년) ,http://www.thebestpay.co.kr,서울 강서구,2.6,15.38 % (4 명),11.54 % (3 명)
케이아이티밸리(주),중소기업,0,0,www.kitvalley.com,서울 금천구,3.0,27.85 % (22 명),25.32 % (20 명)
(주)버블콘,"중소기업, 주식회사",0,0,,서울 구로구,2.0,82.35 % (14 명),52.94 % (9 명)
(주)크릭인텍,"중소기업, 주식회사",0,2019년 10월 30일 (업력 3년) ,www.cricit.kr,서울 성동구,,40.00 % (2 명),40.00 % (2 명)
(주)뉴인,"중소기업, 주식회사",29 명  (2021년 기준),0,touchclass.com,서울 마포구,,33.33 % (10 명),23.33 % (7 명)
에스케이시그넷(주),"코넥스, 중소기업, 주식회사, 외부감사법..",178 명  (2021년 기준),2016년 12월 13일 (업력 6년) ,https://sksignet.com/,전남 영광군,2.4,101.18 % (171 명),22.49 % (38 명)
(주)바인테크,"중소기업, 외부감사법인, 주식회사, 병역..",40 명  (2021년 기준),2001년 4월 25일 (업력 21년) ,www.vinetech.co.kr,서울 송파구,2.6,35.71 % (15 명),47.62 % (20 명)
(주)엔켐,"코스닥, 중소기업, 외부감사법인, 주식회..",261 명  (2022년 기준),2012년 1월 26일 (업력 10년) ,www.enchem.net,충북 제천시,2.5,90.32 % (196 명),58.53 % (127 명)
(주)에이티솔루션,중소기업,0,2017년 1월 26일 (업력 5년) ,,부산 기장군,4.0,7.14 % (1 명),28.57 % (4 명)
에이엠스퀘어(주),"중소기업, 주식회사",0,2019년 3월 7일 (업력 3년) ,amsquare.ai,경북 포항시,0.0,62.50 % (5 명),25.00 % (2 명)
(주)플라잎,중소기업,0,2020년 1월 29일 (업력 2년) ,www.plaif.com,-,4.0,,
주식회사 엑세스워터,"중소기업, 주식회사",0,0,,대구 달서구,,175.00 % (7 명),175.00 % (7 명)
㈜더아이엠씨,"중소기업, 주식회사, 병역특례 인증업체",0,0,http://www.theimc.co.kr/,대구 수성구,2.2,60.00 % (32 명),40.00 % (21 명)
아이티사이언스(주),"중소기업, 스타트업, 외부감사법인, 주식..",162 명  (2021년 기준),2002년 11월 25일 (업력 20년) ,www.itscience.co.kr,경기 안양시,2.5,33.12 % (52 명),16.56 % (26 명)
(주)파츠몰,"중견기업, 주식회사, 외부감사법인, 수출..",32 명  (2021년 기준),0,www.parts-mall.com,경기 고양시,2.5,14.71 % (5 명),23.53 % (8 명)
시큐웍스(대전),"중소기업, 외부감사법인, 주식회사, 수출..",0,0,www.secu-works.com,대전 유성구,1.0,62.50 % (15 명),79.17 % (19 명)
디에스엠이정보시스템(주),대기업,217 명  (2021년 기준),2016년 12월 28일 (업력 6년) ,www.dsmeinc.com,경남 거제시,3.0,15.98 % (35 명),26.94 % (59 명)
(주)데이터에듀,"중소기업, 주식회사",32 명  (2021년 기준),2019년 1월 28일 (업력 3년) ,www.dataedu.co.kr,부산 해운대구,1.8,183.87 % (57 명),151.61 % (47 명)
(주)제이에스티앤랩,중소기업,18 명  (2018년 기준),2008년 12월 2일 (업력 14년) ,www.js-t.co.kr,인천 연수구,2.7,35.00 % (7 명),60.00 % (12 명)
(주)코아시아씨엠,"중소기업, 연구소",0,2020년 10월 19일 (업력 2년) ,,경기 화성시,,13.33 % (6 명),51.11 % (23 명)
(주)클로버스튜디오,중소기업,0,2019년 7월 25일 (업력 3년) ,,인천 연수구,2.0,145.45 % (16 명),118.18 % (13 명)
포체인스(주),중소기업,0,2021년 9월 23일 (업력 1년) ,,경기 고양시,,- % (23 명),- % (4 명)
(주)시스콘,"중소기업, 주식회사, 병역특례 인증업체",0,0,www.syscon.kr,인천 서구,2.9,91.78 % (67 명),26.03 % (19 명)
(주)메디칼파크,"중소기업, 외부감사법인, 연구소, 주식회..",77 명  (2021년 기준),2008년 1월 4일 (업력 14년) ,imedicalpark.com,경기 용인시,2.9,39.13 % (27 명),15.94 % (11 명)
(주)다누시스,"중소기업, 연구소, 주식회사, 병역특례 ..",61 명  (2022년 기준),2002년 10월 2일 (업력 20년) ,www.danusys.com,경기 광명시,2.9,64.71 % (33 명),49.02 % (25 명)
쿤텍(주),"중소기업, 연구소, 주식회사",39 명  (2022년 기준),2016년 1월 28일 (업력 6년) ,www.coontec.com,경기 성남시,3.4,103.33 % (31 명),60.00 % (18 명)
(주)데이터메이커,중소기업,0,2018년 10월 19일 (업력 4년) ,www.datamaker.io,대전 유성구,3.9,70.97 % (44 명),85.48 % (53 명)
비앤에프테크놀로지(주),중소기업,77 명  (2019년 기준),2000년 11월 10일 (업력 22년) ,www.bnftech.com,대전 유성구,3.2,43.64 % (24 명),36.36 % (20 명)
(주)두잇시스템,중소기업,223 명  (2021년 기준),2004년 2월 16일 (업력 18년) ,www.doitsys.co.kr,서울 영등포구,2.5,22.48 % (49 명),19.27 % (42 명)
주식회사 미코,중소기업,0,0,,인천 서구,2.8,37.50 % (45 명),19.17 % (23 명)
(주)두플,"중소기업, 주식회사",0,0,www.doople.net,경기 성남시,2.6,36.67 % (11 명),23.33 % (7 명)
(주)얼라인드제네틱스,"코스닥, 중소기업, 스타트업, 주식회사, ..",52 명  (2022년 기준),2008년 10월 2일 (업력 14년) ,www.alignedgenetics.com,경기 안양시,3.3,40.00 % (18 명),22.22 % (10 명)
(주)동서가구,"중소기업, 외부감사법인, 주식회사, 수출..",85 명  (2021년 기준),2013년 8월 23일 (업력 9년) ,www.dongsuhfurniture.co.kr,경기 성남시,2.0,72.58 % (45 명),77.42 % (48 명)
네이버제트(주),대기업,252 명  (2021년 기준),2020년 5월 6일 (업력 2년) ,,경기 성남시,4.2,90.38 % (216 명),42.26 % (101 명)
(주)제이숲,중소기업,0,0,www.jsoop.co.kr,경기 의정부시,3.4,74.07 % (40 명),59.26 % (32 명)
(주)투버미디어,"중소기업, 주식회사",12 명  (2022년 기준),0,www.2ver.com,대구 남구,2.0,12.50 % (2 명),12.50 % (2 명)
주식회사 명품입찰,중소기업,0,0,www.mpbid.co.kr,대전 동구,2.7,81.40 % (35 명),79.07 % (34 명)
이룸컨설팅(주),"중소기업, 주식회사",0,2021년 11월 25일 (업력 1년) ,www.we-bid.co.kr,경기 화성시,,75.00 % (3 명),25.00 % (1 명)
스포츠투아이(주),"중소기업, 주식회사",66 명  (2021년 기준),1999년 12월 9일 (업력 23년) ,www.sports2i.com,경기 성남시,2.7,41.67 % (25 명),35.00 % (21 명)
삼인이엔에스(주),"중소기업, 스타트업, 주식회사",24 명  (2019년 기준),2006년 11월 6일 (업력 16년) ,www.saminis.com,부산 해운대구,,16.00 % (4 명),20.00 % (5 명)
(주)아이비젼웍스,"중소기업, 주식회사, 수출입 기업",70 명  (2021년 기준),2015년 4월 20일 (업력 7년) ,,대전 유성구,4.4,108.47 % (64 명),42.37 % (25 명)
(주)와이즈레이크,중소기업,14 명  (2022년 기준),2022년 1월 28일 (업력 0년) ,wiselake.co.kr/,경기 안양시,,- % (21 명),- % (2 명)
(주)에스브이씨,중소기업,8 명  (2022년 기준),2018년 8월 6일 (업력 4년) ,,경남 양산시,,0.00 % (0 명),0.00 % (0 명)
에프원소프트(주),"중소기업, 스타트업, 병역특례 인증업체",0,0,www.f1soft.co.kr,경기 화성시,2.5,35.14 % (13 명),37.84 % (14 명)
(주)에스티에이테스팅컨설팅,"중소기업, 스타트업, 주식회사",185 명  (2022년 기준),0,www.sta.co.kr,서울 강남구,2.5,32.71 % (70 명),45.79 % (98 명)
(주)플랜아이,"중소기업, 주식회사, 병역특례 인증업체,..",116 명  (2022년 기준),2004년 11월 26일 (업력 18년) ,www.plani.co.kr,대전 유성구,3.0,30.36 % (34 명),28.57 % (32 명)
(주)발렌타인드림,"중소기업, 연구소, 주식회사",0,0,www.bdm.works/,서울 강남구,2.7,175.86 % (51 명),127.59 % (37 명)
(주)유라,중견기업,0,0,www.yura.co.kr,경기 화성시,2.2,23.00 % (109 명),19.62 % (93 명)
한국딥러닝(주),"중소기업, 주식회사",0,2019년 5월 20일 (업력 3년) ,www.koreadeep.com/,경기 성남시,,157.14 % (22 명),85.71 % (12 명)
원테크원(주),중소기업,12 명  (2022년 기준),2020년 2월 6일 (업력 2년) ,,경기 하남시,,,
디휴브,"중소기업, 주식회사",0,0,,경기 고양시,1.0,,
(주)더컴퍼니,"중소기업, 주식회사",0,2016년 5월 17일 (업력 6년) ,bestco.kr,경남 창원시,2.5,28.57 % (2 명),42.86 % (3 명)
에이에프주식회사,,0,0,,경기 화성시,,,
캐논코리아 주식회사,"대기업, 1000대기업, 외국인 투자기업, ..",0,0,https://kr.canon/,서울 강남구,2.7,24.69 % (315 명),30.49 % (389 명)
(주)스마일게이트엔터테인먼트,"중견기업, 주식회사, 외부감사법인",791 명  (2021년 기준),2002년 6월 11일 (업력 20년) ,www.smilegate.com,경기 성남시,3.3,25.77 % (202 명),17.60 % (138 명)
(주)에이치엠이스퀘어,"중소기업, 주식회사",0,2020년 2월 7일 (업력 2년) ,www.hmesquare.com,대전 유성구,,130.00 % (13 명),100.00 % (10 명)
주식회사 한국미래에너지,주식회사,25 명  (2021년 기준),0,www.rfems.com,부산 강서구,3.0,42.31 % (11 명),84.62 % (22 명)
스타법무법인,중소기업,0,2022년 4월 6일 (업력 0년) ,www.star-law.com/08_career/,대구 중구,2.5,,
(주)이루온아이앤에스,"중소기업, 주식회사",0,0,www.eluonins.com,경기 성남시,3.3,43.10 % (25 명),44.83 % (26 명)
(주)인실리코젠,"중소기업, 주식회사, 병역특례 인증업체",0,0,insilicogen.com,경기 용인시,2.7,42.86 % (21 명),20.41 % (10 명)
주식회사 아이디케이,"중소기업, 주식회사",0,0,,대전 유성구,,88.89 % (16 명),72.22 % (13 명)
(주)아인스텍,"중소기업, 주식회사",12 명  (2017년 기준),2002년 4월 25일 (업력 20년) ,www.einstek.com,경기 고양시,2.5,54.00 % (71 명),58.00 % (76 명)
